"age","no_show_rate"
0,18.06
1,18.26
2,15.57
3,18.31
4,21.71
5,21.49
6,20.78
7,21.04
8,22.33
9,26.53
10,23.86
11,20.67
12,24.91
13,27.47
14,28.26
15,26.59
16,25.18
17,26.24
18,23.54
19,25.45
20,24.70
21,24.45
22,25.45
23,25.43
24,25.85
25,26.43
26,24.32
27,23.89
28,22.93
29,23.52
30,24.26
31,22.24
32,21.99
33,22.83
34,21.10
35,20.97
36,21.77
37,20.68
38,19.59
39,22.14
40,21.47
41,22.88
42,20.83
43,22.99
44,21.72
45,17.55
46,19.38
47,19.15
48,19.37
49,18.04
50,18.04
51,18.06
52,17.01
53,19.32
54,17.52
55,18.04
56,16.09
57,17.34
58,17.22
59,16.44
60,16.73
61,14.89
62,16.16
63,13.03
64,13.67
65,15.17
66,15.08
67,15.21
68,16.70
69,14.18
70,12.98
71,17.41
72,16.42
73,13.24
74,14.78
75,14.89
76,15.94
77,14.99
78,16.45
79,15.64
80,15.85
81,14.32
82,16.84
83,21.79
84,11.25
85,17.82
86,16.15
87,14.67
88,9.52
89,16.76
90,21.10
91,19.70
92,23.26
93,18.87
94,18.18
95,25.00
96,5.88
97,18.18
98,16.67
99,0.00
100,0.00
102,0.00
115,60.00
