"neighbourhood","count","no_show_rate"
ILHAS OCEÂNICAS DE TRINDADE,2,100.00
SANTOS DUMONT,1276,28.92
SANTA CECÍLIA,448,27.46
SANTA CLARA,506,26.48
ITARARÉ,3514,26.27
JESUS DE NAZARETH,2853,24.40
HORTO,175,24.00
ILHA DO PRÍNCIPE,2266,23.48
CARATOÍRA,2565,23.04
ANDORINHAS,2262,23.03
PRAIA DO SUÁ,1288,22.83
GURIGICA,2018,22.60
BENTO FERREIRA,858,22.49
PARQUE MOSCOSO,802,22.32
MARUÍPE,1902,22.29
DO MOSCOSO,413,22.28
ENSEADA DO SUÁ,235,22.13
ARIOVALDO FAVALESSA,282,21.99
ILHA DAS CAIEIRAS,1071,21.94
FONTE GRANDE,682,21.85
CRUZAMENTO,1398,21.75
SÃO JOSÉ,1977,21.65
BARRO VERMELHO,423,21.51
NAZARETH,135,21.48
ROMÃO,2214,21.41
CENTRO,3334,21.09
UNIVERSITÁRIO,152,21.05
SÃO PEDRO,2448,21.04
MARIA ORTIZ,5805,21.00
SANTA HELENA,178,20.79
SANTOS REIS,547,20.48
RESISTÊNCIA,4430,20.43
SANTA TEREZA,1332,20.42
GRANDE VITÓRIA,1071,20.26
MONTE BELO,824,20.15
BELA VISTA,1907,20.14
ILHA DO FRADE,10,20.00
SÃO BENEDITO,1439,19.94
BONFIM,2773,19.83
SÃO CRISTÓVÃO,1836,19.77
SANTO ANDRÉ,2571,19.76
ESTRELINHA,538,19.70
SANTA LÚCIA,438,19.63
GOIABEIRAS,700,19.57
PIEDADE,452,19.47
DA PENHA,2217,19.35
SEGURANÇA DO LAR,145,19.31
JUCUTUQUARA,694,19.16
ILHA DE SANTA MARIA,1885,19.15
INHANGUETÁ,1057,19.11
JARDIM CAMBURI,7717,18.98
CONQUISTA,849,18.85
FRADINHOS,258,18.60
BOA VISTA,312,18.59
ANTÔNIO HONÓRIO,271,18.45
PRAIA DO CANTO,1035,18.36
FORTE SÃO JOÃO,1889,18.32
TABUAZEIRO,3131,18.27
JOANA D´ARC,1427,18.08
COMDUSA,310,18.06
SANTA LUÍZA,428,17.99
JABOUR,2509,17.98
NOVA PALESTINA,2264,17.76
REDENÇÃO,1553,17.71
SANTO ANTÔNIO,2744,17.57
PONTAL DE CAMBURI,69,17.39
CONSOLAÇÃO,1375,17.16
REPÚBLICA,835,17.13
MATA DA PRAIA,644,17.08
MORADA DE CAMBURI,96,16.67
VILA RUBIM,851,16.57
DO QUADRO,849,16.49
JARDIM DA PENHA,3877,16.28
SANTA MARTHA,3131,15.84
DO CABRAL,560,15.71
DE LOURDES,305,15.41
SOLON BORGES,469,14.71
MÁRIO CYPRESTE,371,14.56
AEROPORTO,8,12.50
ILHA DO BOI,35,8.57
PARQUE INDUSTRIAL,1,0.00
